2026-07-07 20:44:27 | INFO    | selector.volume_selector:43 | ST过滤: 3770 -> 3643
2026-07-07 20:44:27 | INFO    | selector.volume_selector:52 | 股价过滤(<3.0元): 3643 -> 3538
2026-07-07 20:44:27 | INFO    | selector.volume_selector:61 | 低量过滤(<1000手): 3538 -> 3532
2026-07-07 20:44:27 | WARNING | collector.history:45 | 获取 600403 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:27 | WARNING | collector.history:48 | 历史数据为空: 600403
2026-07-07 20:44:28 | WARNING | collector.history:45 | 获取 600406 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:28 | WARNING | collector.history:48 | 历史数据为空: 600406
2026-07-07 20:44:28 | WARNING | collector.history:45 | 获取 600409 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:28 | WARNING | collector.history:48 | 历史数据为空: 600409
2026-07-07 20:44:28 | WARNING | collector.history:45 | 获取 600410 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:28 | WARNING | collector.history:48 | 历史数据为空: 600410
2026-07-07 20:44:29 | WARNING | collector.history:45 | 获取 600415 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:29 | WARNING | collector.history:48 | 历史数据为空: 600415
2026-07-07 20:44:29 | WARNING | collector.history:45 | 获取 600416 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:29 | WARNING | collector.history:48 | 历史数据为空: 600416
2026-07-07 20:44:29 | WARNING | collector.history:45 | 获取 600418 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:29 | WARNING | collector.history:48 | 历史数据为空: 600418
2026-07-07 20:44:30 | WARNING | collector.history:45 | 获取 600419 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:30 | WARNING | collector.history:48 | 历史数据为空: 600419
2026-07-07 20:44:30 | WARNING | collector.history:45 | 获取 600420 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:30 | WARNING | collector.history:48 | 历史数据为空: 600420
2026-07-07 20:44:30 | WARNING | collector.history:45 | 获取 600422 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:30 | WARNING | collector.history:48 | 历史数据为空: 600422
2026-07-07 20:44:31 | WARNING | collector.history:45 | 获取 600425 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:31 | WARNING | collector.history:48 | 历史数据为空: 600425
2026-07-07 20:44:31 | WARNING | collector.history:45 | 获取 600426 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:31 | WARNING | collector.history:48 | 历史数据为空: 600426
2026-07-07 20:44:31 | WARNING | collector.history:45 | 获取 600428 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:31 | WARNING | collector.history:48 | 历史数据为空: 600428
2026-07-07 20:44:32 | WARNING | collector.history:45 | 获取 600429 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:32 | WARNING | collector.history:48 | 历史数据为空: 600429
2026-07-07 20:44:32 | WARNING | collector.history:45 | 获取 600433 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:32 | WARNING | collector.history:48 | 历史数据为空: 600433
2026-07-07 20:44:32 | WARNING | collector.history:45 | 获取 600435 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:32 | WARNING | collector.history:48 | 历史数据为空: 600435
2026-07-07 20:44:33 | WARNING | collector.history:45 | 获取 600436 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:33 | WARNING | collector.history:48 | 历史数据为空: 600436
2026-07-07 20:44:33 | WARNING | collector.history:45 | 获取 600438 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:33 | WARNING | collector.history:48 | 历史数据为空: 600438
2026-07-07 20:44:33 | WARNING | collector.history:45 | 获取 600444 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:33 | WARNING | collector.history:48 | 历史数据为空: 600444
2026-07-07 20:44:34 | WARNING | collector.history:45 | 获取 600446 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:34 | WARNING | collector.history:48 | 历史数据为空: 600446
2026-07-07 20:44:34 | WARNING | collector.history:45 | 获取 600449 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:34 | WARNING | collector.history:48 | 历史数据为空: 600449
2026-07-07 20:44:34 | WARNING | collector.history:45 | 获取 600452 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:34 | WARNING | collector.history:48 | 历史数据为空: 600452
2026-07-07 20:44:35 | WARNING | collector.history:45 | 获取 600455 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:35 | WARNING | collector.history:48 | 历史数据为空: 600455
2026-07-07 20:44:35 | WARNING | collector.history:45 | 获取 600456 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:35 | WARNING | collector.history:48 | 历史数据为空: 600456
2026-07-07 20:44:35 | WARNING | collector.history:45 | 获取 600458 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:35 | WARNING | collector.history:48 | 历史数据为空: 600458
2026-07-07 20:44:36 | WARNING | collector.history:45 | 获取 600459 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:36 | WARNING | collector.history:48 | 历史数据为空: 600459
2026-07-07 20:44:36 | WARNING | collector.history:45 | 获取 600460 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:36 | WARNING | collector.history:48 | 历史数据为空: 600460
2026-07-07 20:44:37 | WARNING | collector.history:45 | 获取 600461 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:37 | WARNING | collector.history:48 | 历史数据为空: 600461
2026-07-07 20:44:37 | WARNING | collector.history:45 | 获取 600463 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:37 | WARNING | collector.history:48 | 历史数据为空: 600463
2026-07-07 20:44:37 | WARNING | collector.history:45 | 获取 600468 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:37 | WARNING | collector.history:48 | 历史数据为空: 600468
2026-07-07 20:44:38 | WARNING | collector.history:45 | 获取 600469 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:38 | WARNING | collector.history:48 | 历史数据为空: 600469
2026-07-07 20:44:38 | WARNING | collector.history:45 | 获取 600470 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:38 | WARNING | collector.history:48 | 历史数据为空: 600470
2026-07-07 20:44:38 | WARNING | collector.history:45 | 获取 600475 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:38 | WARNING | collector.history:48 | 历史数据为空: 600475
2026-07-07 20:44:39 | WARNING | collector.history:45 | 获取 600478 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:39 | WARNING | collector.history:48 | 历史数据为空: 600478
2026-07-07 20:44:39 | WARNING | collector.history:45 | 获取 600479 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:39 | WARNING | collector.history:48 | 历史数据为空: 600479
2026-07-07 20:44:39 | WARNING | collector.history:45 | 获取 600480 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:39 | WARNING | collector.history:48 | 历史数据为空: 600480
2026-07-07 20:44:40 | WARNING | collector.history:45 | 获取 600481 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:40 | WARNING | collector.history:48 | 历史数据为空: 600481
2026-07-07 20:44:40 | WARNING | collector.history:45 | 获取 600482 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:40 | WARNING | collector.history:48 | 历史数据为空: 600482
2026-07-07 20:44:40 | WARNING | collector.history:45 | 获取 600483 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:40 | WARNING | collector.history:48 | 历史数据为空: 600483
2026-07-07 20:44:41 | WARNING | collector.history:45 | 获取 600486 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:41 | WARNING | collector.history:48 | 历史数据为空: 600486
2026-07-07 20:44:41 | WARNING | collector.history:45 | 获取 600487 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:41 | WARNING | collector.history:48 | 历史数据为空: 600487
2026-07-07 20:44:41 | WARNING | collector.history:45 | 获取 600488 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:41 | WARNING | collector.history:48 | 历史数据为空: 600488
2026-07-07 20:44:42 | WARNING | collector.history:45 | 获取 600489 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:42 | WARNING | collector.history:48 | 历史数据为空: 600489
2026-07-07 20:44:42 | WARNING | collector.history:45 | 获取 600490 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:42 | WARNING | collector.history:48 | 历史数据为空: 600490
2026-07-07 20:44:42 | WARNING | collector.history:45 | 获取 600493 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:42 | WARNING | collector.history:48 | 历史数据为空: 600493
2026-07-07 20:44:43 | WARNING | collector.history:45 | 获取 600495 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:43 | WARNING | collector.history:48 | 历史数据为空: 600495
2026-07-07 20:44:43 | WARNING | collector.history:45 | 获取 600496 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:43 | WARNING | collector.history:48 | 历史数据为空: 600496
2026-07-07 20:44:43 | WARNING | collector.history:45 | 获取 600497 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:43 | WARNING | collector.history:48 | 历史数据为空: 600497
2026-07-07 20:44:44 | WARNING | collector.history:45 | 获取 600498 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:44 | WARNING | collector.history:48 | 历史数据为空: 600498
2026-07-07 20:44:44 | WARNING | collector.history:45 | 获取 600499 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:44 | WARNING | collector.history:48 | 历史数据为空: 600499
2026-07-07 20:44:44 | WARNING | collector.history:45 | 获取 600500 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:44 | WARNING | collector.history:48 | 历史数据为空: 600500
2026-07-07 20:44:45 | WARNING | collector.history:45 | 获取 600501 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:45 | WARNING | collector.history:48 | 历史数据为空: 600501
2026-07-07 20:44:45 | WARNING | collector.history:45 | 获取 600502 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:45 | WARNING | collector.history:48 | 历史数据为空: 600502
2026-07-07 20:44:45 | WARNING | collector.history:45 | 获取 600505 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:45 | WARNING | collector.history:48 | 历史数据为空: 600505
2026-07-07 20:44:46 | WARNING | collector.history:45 | 获取 600506 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:46 | WARNING | collector.history:48 | 历史数据为空: 600506
2026-07-07 20:44:46 | WARNING | collector.history:45 | 获取 600507 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:46 | WARNING | collector.history:48 | 历史数据为空: 600507
2026-07-07 20:44:46 | WARNING | collector.history:45 | 获取 600508 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:46 | WARNING | collector.history:48 | 历史数据为空: 600508
2026-07-07 20:44:47 | WARNING | collector.history:45 | 获取 600509 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:47 | WARNING | collector.history:48 | 历史数据为空: 600509
2026-07-07 20:44:47 | WARNING | collector.history:45 | 获取 600510 2026 年数据失败: 'list' object has no attribute 'get'
2026-07-07 20:44:47 | WARNING | collector.history:48 | 历史数据为空: 600510
